log_id,text,region,language,actual_intent,actual_sentiment
LOG_0000,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,English,tech_support,Frustrated
LOG_0001,I have a question about my invoice 2535. My credit card was charged twice.,North,French,billing,Neutral
LOG_0002,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,French,refund_request,Frustrated
LOG_0003,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,tech_support,Frustrated
LOG_0004,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,tech_support,Frustrated
LOG_0005,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,tech_support,Satisfied
LOG_0006,I HAVE A QUESTION ABOUT MY INVOICE 4733. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,English,billing,Frustrated
LOG_0007,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,tech_support,Neutral
LOG_0008,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Hindi,tech_support,Neutral
LOG_0009,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,tech_support,Frustrated
LOG_0010,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) MY EMAIL IS USER10@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Hindi,login_issue,Frustrated
LOG_0011,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,tech_support,Satisfied
LOG_0012,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,login_issue,Frustrated
LOG_0013,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Hindi,login_issue,Frustrated
LOG_0014,I HAVE A QUESTION ABOUT MY INVOICE 1771. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,French,billing,Frustrated
LOG_0015,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Spanish,login_issue,Frustrated
LOG_0016,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,Hindi,login_issue,Satisfied
LOG_0017,The application keeps crashing on my mobile device. I tried restarting but it didn't help. My email is user17@example.com and my phone is 555-0199.,East,English,tech_support,Satisfied
LOG_0018,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,English,tech_support,Frustrated
LOG_0019,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,tech_support,Frustrated
LOG_0020,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,tech_support,Satisfied
LOG_0021,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,English,login_issue,Frustrated
LOG_0022,I have a question about my invoice 8787. My credit card was charged twice.,North,Spanish,billing,Frustrated
LOG_0023,I am not satisfied with the service. Please refund my last payment immediately.,West,Spanish,refund_request,Satisfied
LOG_0024,I have a question about my invoice 4681. My credit card was charged twice. My email is user24@example.com and my phone is 555-0199.,West,French,billing,Frustrated
LOG_0025,I HAVE A QUESTION ABOUT MY INVOICE 1964. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,Spanish,billing,Frustrated
LOG_0026,I have a question about my invoice 4899. My credit card was charged twice.,North,Hindi,billing,Neutral
LOG_0027,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user27@example.com and my phone is 555-0199.,West,Spanish,login_issue,Satisfied
LOG_0028,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,French,tech_support,Neutral
LOG_0029,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,tech_support,Neutral
LOG_0030,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,tech_support,Neutral
LOG_0031,I am not satisfied with the service. Please refund my last payment immediately.,North,English,refund_request,Frustrated
LOG_0032,I have a question about my invoice 1035. My credit card was charged twice.,West,English,billing,Frustrated
LOG_0033,I am not satisfied with the service. Please refund my last payment immediately.,West,Hindi,refund_request,Frustrated
LOG_0034,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,login_issue,Frustrated
LOG_0035,I have a question about my invoice 9320. My credit card was charged twice. My email is user35@example.com and my phone is 555-0199.,West,Spanish,billing,Frustrated
LOG_0036,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,login_issue,Frustrated
LOG_0037,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,French,login_issue,Satisfied
LOG_0038,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Hindi,login_issue,Frustrated
LOG_0039,I am not satisfied with the service. Please refund my last payment immediately.,North,English,refund_request,Frustrated
LOG_0040,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,tech_support,Satisfied
LOG_0041,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,tech_support,Frustrated
LOG_0042,I am not satisfied with the service. Please refund my last payment immediately.,North,Spanish,refund_request,Frustrated
LOG_0043,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,Hindi,login_issue,Frustrated
LOG_0044,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Hindi,login_issue,Satisfied
LOG_0045,I have a question about my invoice 3442. My credit card was charged twice.,North,English,billing,Neutral
LOG_0046,I have a question about my invoice 6974. My credit card was charged twice.,West,Spanish,billing,Neutral
LOG_0047,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,login_issue,Neutral
LOG_0048,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,Spanish,refund_request,Frustrated
LOG_0049,I am not satisfied with the service. Please refund my last payment immediately.,East,French,refund_request,Frustrated
LOG_0050,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,French,login_issue,Neutral
LOG_0051,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,English,tech_support,Frustrated
LOG_0052,Could you add a dark mode to the dashboard? It's too bright at night.,North,Hindi,feature_request,Frustrated
LOG_0053,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,login_issue,Satisfied
LOG_0054,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,English,login_issue,Frustrated
LOG_0055,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,Hindi,refund_request,Frustrated
LOG_0056,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Hindi,login_issue,Neutral
LOG_0057,I am not satisfied with the service. Please refund my last payment immediately.,West,French,refund_request,Frustrated
LOG_0058,I am not satisfied with the service. Please refund my last payment immediately.,East,Spanish,refund_request,Frustrated
LOG_0059,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,tech_support,Neutral
LOG_0060,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. MY EMAIL IS USER60@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Hindi,tech_support,Frustrated
LOG_0061,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,login_issue,Frustrated
LOG_0062,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,French,tech_support,Frustrated
LOG_0063,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,English,tech_support,Satisfied
LOG_0064,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,tech_support,Satisfied
LOG_0065,I am not satisfied with the service. Please refund my last payment immediately.,West,French,refund_request,Frustrated
